District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
JOONDALUP DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.00027091901147071094
JOONDALUP DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,3,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0008127570344121329
KIMBERLEY DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
KIMBERLEY DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,1,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0028496523424142253
MANDURAH DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.000344923927027894
MANDURAH DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,3,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.001034771781083682
MID WEST-GASCOYNE DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,1,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0016457925313934924
MIDLAND DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0
MIDLAND DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.00039856198834604744
MIRRABOOKA DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0
MIRRABOOKA DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,6,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.002029412958478211
PERTH DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
PERTH DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,5,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.003595130754905556
PILBARA DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
SOUTH WEST DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
SOUTH WEST DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
WHEATBELT DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Deprivation of Liberty,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
