District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
KIMBERLEY DISTRICT,Robbery,2007-02-01,2007,February,2,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0056993046848284505
MANDURAH DISTRICT,Robbery,2007-02-01,2007,February,0,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.0
MANDURAH DISTRICT,Robbery,2007-02-01,2007,February,10,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.00344923927027894
MID WEST-GASCOYNE DISTRICT,Robbery,2007-02-01,2007,February,0,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Robbery,2007-02-01,2007,February,2,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.003291585062786985
MIDLAND DISTRICT,Robbery,2007-02-01,2007,February,1,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.00039856198834604744
MIDLAND DISTRICT,Robbery,2007-02-01,2007,February,19,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.0075726777785749015
MIRRABOOKA DISTRICT,Robbery,2007-02-01,2007,February,1,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.0003382354930797018
MIRRABOOKA DISTRICT,Robbery,2007-02-01,2007,February,30,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.010147064792391055
PERTH DISTRICT,Robbery,2007-02-01,2007,February,1,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.0007190261509811112
PERTH DISTRICT,Robbery,2007-02-01,2007,February,25,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.01797565377452778
PILBARA DISTRICT,Robbery,2007-02-01,2007,February,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0
PILBARA DISTRICT,Robbery,2007-02-01,2007,February,3,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.005442769281010177
SOUTH WEST DISTRICT,Robbery,2007-02-01,2007,February,1,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.0005298181664052897
SOUTH WEST DISTRICT,Robbery,2007-02-01,2007,February,4,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.0021192726656211586
WHEATBELT DISTRICT,Robbery,2007-02-01,2007,February,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0
WHEATBELT DISTRICT,Robbery,2007-02-01,2007,February,1,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0017877254768757709
ARMADALE DISTRICT,Robbery,2007-03-01,2007,March,1,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0004028505706378333
ARMADALE DISTRICT,Robbery,2007-03-01,2007,March,4,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0016114022825513333
CANNINGTON DISTRICT,Robbery,2007-03-01,2007,March,4,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0018314095901763188
CANNINGTON DISTRICT,Robbery,2007-03-01,2007,March,26,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.011904162336146072
FREMANTLE DISTRICT,Robbery,2007-03-01,2007,March,5,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0017850831313214258
FREMANTLE DISTRICT,Robbery,2007-03-01,2007,March,37,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.01320961517177855
GOLDFIELDS-ESPERANCE DISTRICT,Robbery,2007-03-01,2007,March,1,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0018980734554427255
GOLDFIELDS-ESPERANCE DISTRICT,Robbery,2007-03-01,2007,March,2,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.003796146910885451
GREAT SOUTHERN DISTRICT,Robbery,2007-03-01,2007,March,0,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0
GREAT SOUTHERN DISTRICT,Robbery,2007-03-01,2007,March,1,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.001200048001920077
JOONDALUP DISTRICT,Robbery,2007-03-01,2007,March,2,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0005418380229414219
JOONDALUP DISTRICT,Robbery,2007-03-01,2007,March,20,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.005418380229414219
KIMBERLEY DISTRICT,Robbery,2007-03-01,2007,March,0,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0
KIMBERLEY DISTRICT,Robbery,2007-03-01,2007,March,3,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.008548957027242676
MANDURAH DISTRICT,Robbery,2007-03-01,2007,March,4,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.001379695708111576
MANDURAH DISTRICT,Robbery,2007-03-01,2007,March,10,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.00344923927027894
MID WEST-GASCOYNE DISTRICT,Robbery,2007-03-01,2007,March,0,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Robbery,2007-03-01,2007,March,3,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.004937377594180477
MIDLAND DISTRICT,Robbery,2007-03-01,2007,March,2,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.0007971239766920949
MIDLAND DISTRICT,Robbery,2007-03-01,2007,March,20,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.00797123976692095
MIRRABOOKA DISTRICT,Robbery,2007-03-01,2007,March,5,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.001691177465398509
MIRRABOOKA DISTRICT,Robbery,2007-03-01,2007,March,30,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.010147064792391055
PERTH DISTRICT,Robbery,2007-03-01,2007,March,1,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.0007190261509811112
PERTH DISTRICT,Robbery,2007-03-01,2007,March,21,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.015099549170603336
PILBARA DISTRICT,Robbery,2007-03-01,2007,March,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0
PILBARA DISTRICT,Robbery,2007-03-01,2007,March,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0
SOUTH WEST DISTRICT,Robbery,2007-03-01,2007,March,0,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.0
SOUTH WEST DISTRICT,Robbery,2007-03-01,2007,March,0,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.0
WHEATBELT DISTRICT,Robbery,2007-03-01,2007,March,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0
WHEATBELT DISTRICT,Robbery,2007-03-01,2007,March,1,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0017877254768757709
ARMADALE DISTRICT,Robbery,2007-04-01,2007,April,2,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0008057011412756667
ARMADALE DISTRICT,Robbery,2007-04-01,2007,April,15,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0060427585595675
CANNINGTON DISTRICT,Robbery,2007-04-01,2007,April,0,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0
CANNINGTON DISTRICT,Robbery,2007-04-01,2007,April,20,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.009157047950881594
FREMANTLE DISTRICT,Robbery,2007-04-01,2007,April,1,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.00035701662626428515
FREMANTLE DISTRICT,Robbery,2007-04-01,2007,April,16,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0057122660202285624
GOLDFIELDS-ESPERANCE DISTRICT,Robbery,2007-04-01,2007,April,0,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Robbery,2007-04-01,2007,April,3,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.005694220366328177
GREAT SOUTHERN DISTRICT,Robbery,2007-04-01,2007,April,0,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0
GREAT SOUTHERN DISTRICT,Robbery,2007-04-01,2007,April,3,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0036001440057602304
JOONDALUP DISTRICT,Robbery,2007-04-01,2007,April,5,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0013545950573535547
JOONDALUP DISTRICT,Robbery,2007-04-01,2007,April,13,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0035219471491192422
KIMBERLEY DISTRICT,Robbery,2007-04-01,2007,April,0,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0
KIMBERLEY DISTRICT,Robbery,2007-04-01,2007,April,1,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0028496523424142253
MANDURAH DISTRICT,Robbery,2007-04-01,2007,April,1,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.000344923927027894
MANDURAH DISTRICT,Robbery,2007-04-01,2007,April,7,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.002414467489195258
MID WEST-GASCOYNE DISTRICT,Robbery,2007-04-01,2007,April,0,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Robbery,2007-04-01,2007,April,1,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0016457925313934924
MIDLAND DISTRICT,Robbery,2007-04-01,2007,April,1,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.00039856198834604744
MIDLAND DISTRICT,Robbery,2007-04-01,2007,April,12,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.00478274386015257
MIRRABOOKA DISTRICT,Robbery,2007-04-01,2007,April,1,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.0003382354930797018
MIRRABOOKA DISTRICT,Robbery,2007-04-01,2007,April,39,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.013191184230108371
PERTH DISTRICT,Robbery,2007-04-01,2007,April,0,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.0
PERTH DISTRICT,Robbery,2007-04-01,2007,April,27,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.01941370607649
PILBARA DISTRICT,Robbery,2007-04-01,2007,April,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0
PILBARA DISTRICT,Robbery,2007-04-01,2007,April,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0
SOUTH WEST DISTRICT,Robbery,2007-04-01,2007,April,0,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.0
SOUTH WEST DISTRICT,Robbery,2007-04-01,2007,April,1,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.0005298181664052897
WHEATBELT DISTRICT,Robbery,2007-04-01,2007,April,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0
WHEATBELT DISTRICT,Robbery,2007-04-01,2007,April,4,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.007150901907503083
ARMADALE DISTRICT,Robbery,2007-05-01,2007,May,3,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0012085517119135
ARMADALE DISTRICT,Robbery,2007-05-01,2007,May,10,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.004028505706378333
CANNINGTON DISTRICT,Robbery,2007-05-01,2007,May,6,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0027471143852644785
CANNINGTON DISTRICT,Robbery,2007-05-01,2007,May,25,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.011446309938601993
FREMANTLE DISTRICT,Robbery,2007-05-01,2007,May,3,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0010710498787928555
FREMANTLE DISTRICT,Robbery,2007-05-01,2007,May,11,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.003927182888907137
GOLDFIELDS-ESPERANCE DISTRICT,Robbery,2007-05-01,2007,May,1,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0018980734554427255
GOLDFIELDS-ESPERANCE DISTRICT,Robbery,2007-05-01,2007,May,1,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0018980734554427255
GREAT SOUTHERN DISTRICT,Robbery,2007-05-01,2007,May,0,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0
GREAT SOUTHERN DISTRICT,Robbery,2007-05-01,2007,May,4,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.004800192007680308
JOONDALUP DISTRICT,Robbery,2007-05-01,2007,May,1,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.00027091901147071094
JOONDALUP DISTRICT,Robbery,2007-05-01,2007,May,10,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0027091901147071095
KIMBERLEY DISTRICT,Robbery,2007-05-01,2007,May,0,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0
KIMBERLEY DISTRICT,Robbery,2007-05-01,2007,May,3,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.008548957027242676
MANDURAH DISTRICT,Robbery,2007-05-01,2007,May,0,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.0
MANDURAH DISTRICT,Robbery,2007-05-01,2007,May,5,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.00172461963513947
MID WEST-GASCOYNE DISTRICT,Robbery,2007-05-01,2007,May,0,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Robbery,2007-05-01,2007,May,3,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.004937377594180477
MIDLAND DISTRICT,Robbery,2007-05-01,2007,May,3,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.0011956859650381424
MIDLAND DISTRICT,Robbery,2007-05-01,2007,May,6,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.002391371930076285
MIRRABOOKA DISTRICT,Robbery,2007-05-01,2007,May,0,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.0
MIRRABOOKA DISTRICT,Robbery,2007-05-01,2007,May,25,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.008455887326992545
PERTH DISTRICT,Robbery,2007-05-01,2007,May,3,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.0021570784529433337
PERTH DISTRICT,Robbery,2007-05-01,2007,May,27,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.01941370607649
PILBARA DISTRICT,Robbery,2007-05-01,2007,May,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0
PILBARA DISTRICT,Robbery,2007-05-01,2007,May,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0
SOUTH WEST DISTRICT,Robbery,2007-05-01,2007,May,4,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.0021192726656211586
SOUTH WEST DISTRICT,Robbery,2007-05-01,2007,May,3,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.001589454499215869
WHEATBELT DISTRICT,Robbery,2007-05-01,2007,May,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0
WHEATBELT DISTRICT,Robbery,2007-05-01,2007,May,1,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0017877254768757709
ARMADALE DISTRICT,Robbery,2007-06-01,2007,June,0,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0
ARMADALE DISTRICT,Robbery,2007-06-01,2007,June,13,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.005237057418291833
CANNINGTON DISTRICT,Robbery,2007-06-01,2007,June,4,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0018314095901763188
CANNINGTON DISTRICT,Robbery,2007-06-01,2007,June,30,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.01373557192632239
FREMANTLE DISTRICT,Robbery,2007-06-01,2007,June,1,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.00035701662626428515
FREMANTLE DISTRICT,Robbery,2007-06-01,2007,June,6,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.002142099757585711
GOLDFIELDS-ESPERANCE DISTRICT,Robbery,2007-06-01,2007,June,0,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Robbery,2007-06-01,2007,June,2,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.003796146910885451
GREAT SOUTHERN DISTRICT,Robbery,2007-06-01,2007,June,0,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0
