District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
KIMBERLEY DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0
KIMBERLEY DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0
KIMBERLEY DISTRICT,Stealing,2007-01-01,2007,January,3,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.008548957027242676
KIMBERLEY DISTRICT,Stealing,2007-01-01,2007,January,108,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.30776245298073635
MANDURAH DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.0
MANDURAH DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.0
MANDURAH DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.0
MANDURAH DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.0
MANDURAH DISTRICT,Stealing,2007-01-01,2007,January,5,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.00172461963513947
MANDURAH DISTRICT,Stealing,2007-01-01,2007,January,593,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.20453988872754114
MID WEST-GASCOYNE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Stealing,2007-01-01,2007,January,1,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0016457925313934924
