District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,19,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.03127005809647636
MIDLAND DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,52,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.020725223393994466
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,74,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.025029426487897934
PERTH DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,48,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.03451325524709334
PILBARA DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,8,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.01451405141602714
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,28,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.014834908659348112
WHEATBELT DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,17,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.030391333106888106
ARMADALE DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,46,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.01853112624934033
CANNINGTON DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,71,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.03250752022562966
FREMANTLE DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,74,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0264192303435571
GOLDFIELDS-ESPERANCE DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,11,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.020878808009869982
GREAT SOUTHERN DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,8,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.009600384015360616
JOONDALUP DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,42,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.01137859848176986
KIMBERLEY DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,17,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.04844408982104183
MANDURAH DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,41,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.014141881008143654
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,16,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.02633268050229588
MIDLAND DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,57,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.022718033335724707
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,49,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.016573539160905388
PERTH DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,60,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.04314156905886667
PILBARA DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,17,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.03084235925905767
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,16,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.008477090662484634
WHEATBELT DISTRICT,Stealing of Motor Vehicle,2007-04-01,2007,April,7,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.012514078338130397
ARMADALE DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,50,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.020142528531891666
CANNINGTON DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,105,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.04807450174212837
FREMANTLE DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,80,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.028561330101142812
GOLDFIELDS-ESPERANCE DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,13,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.024674954920755433
GREAT SOUTHERN DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,8,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.009600384015360616
JOONDALUP DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,50,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.013545950573535548
KIMBERLEY DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,12,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.034195828108970705
MANDURAH DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,42,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.014486804935171547
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,9,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.014812132782541433
MIDLAND DISTRICT,Stealing of Motor Vehicle,2007-05-01,2007,May,49,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.019529537428956325
