District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,2,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.002400096003840154
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,5,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0013545950573535547
JOONDALUP DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0
KIMBERLEY DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,3,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.008548957027242676
KIMBERLEY DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,1,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0028496523424142253
MANDURAH DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,12,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.004139087124334728
MANDURAH DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.000344923927027894
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,4,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.00658317012557397
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,2,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.003291585062786985
MIDLAND DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,4,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0015942479533841898
MIDLAND DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,3,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0011956859650381424
MIRRABOOKA DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,9,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0030441194377173165
MIRRABOOKA DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,2,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0006764709861594036
PERTH DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,3,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0021570784529433337
PERTH DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
PILBARA DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Threatening Behaviour (Family),2007-02-01,2007,February,1,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0018142564270033925
