District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
MID WEST-GASCOYNE DISTRICT,Regulated Weapons Offences,2007-03-01,2007,March,9,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.014812132782541433
MIDLAND DISTRICT,Regulated Weapons Offences,2007-03-01,2007,March,9,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.0035870578951144273
MIRRABOOKA DISTRICT,Regulated Weapons Offences,2007-03-01,2007,March,22,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.00744118084775344
PERTH DISTRICT,Regulated Weapons Offences,2007-03-01,2007,March,26,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.01869467992550889
PILBARA DISTRICT,Regulated Weapons Offences,2007-03-01,2007,March,2,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.003628512854006785
SOUTH WEST DISTRICT,Regulated Weapons Offences,2007-03-01,2007,March,7,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.003708727164837028
WHEATBELT DISTRICT,Regulated Weapons Offences,2007-03-01,2007,March,7,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.012514078338130397
ARMADALE DISTRICT,Regulated Weapons Offences,2007-04-01,2007,April,5,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0020142528531891667
CANNINGTON DISTRICT,Regulated Weapons Offences,2007-04-01,2007,April,12,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.005494228770528957
FREMANTLE DISTRICT,Regulated Weapons Offences,2007-04-01,2007,April,11,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.003927182888907137
GOLDFIELDS-ESPERANCE DISTRICT,Regulated Weapons Offences,2007-04-01,2007,April,14,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.026573028376198158
GREAT SOUTHERN DISTRICT,Regulated Weapons Offences,2007-04-01,2007,April,13,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.015600624024960999
JOONDALUP DISTRICT,Regulated Weapons Offences,2007-04-01,2007,April,23,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.006231137263826352
KIMBERLEY DISTRICT,Regulated Weapons Offences,2007-04-01,2007,April,5,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.014248261712071126
MANDURAH DISTRICT,Regulated Weapons Offences,2007-04-01,2007,April,8,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.002759391416223152
