District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
MID WEST-GASCOYNE DISTRICT,Assault (Non-Family),2007-02-01,2007,February,48,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.07899804150688763
MID WEST-GASCOYNE DISTRICT,Assault (Non-Family),2007-02-01,2007,February,11,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.018103717845328417
MIDLAND DISTRICT,Assault (Non-Family),2007-02-01,2007,February,32,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.012753983627073518
MIDLAND DISTRICT,Assault (Non-Family),2007-02-01,2007,February,56,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.022319471347378658
MIDLAND DISTRICT,Assault (Non-Family),2007-02-01,2007,February,3,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.0011956859650381424
MIRRABOOKA DISTRICT,Assault (Non-Family),2007-02-01,2007,February,37,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.012514713243948967
MIRRABOOKA DISTRICT,Assault (Non-Family),2007-02-01,2007,February,70,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.023676484515579126
MIRRABOOKA DISTRICT,Assault (Non-Family),2007-02-01,2007,February,4,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.0013529419723188071
PERTH DISTRICT,Assault (Non-Family),2007-02-01,2007,February,58,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.04170351675690445
PERTH DISTRICT,Assault (Non-Family),2007-02-01,2007,February,86,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.061836248984375564
PERTH DISTRICT,Assault (Non-Family),2007-02-01,2007,February,18,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.012942470717660002
PILBARA DISTRICT,Assault (Non-Family),2007-02-01,2007,February,14,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.025399589978047494
PILBARA DISTRICT,Assault (Non-Family),2007-02-01,2007,February,27,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0489849235290916
PILBARA DISTRICT,Assault (Non-Family),2007-02-01,2007,February,5,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.009071282135016963
