District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
SOUTH WEST DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
SOUTH WEST DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,28,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.014834908659348112
WHEATBELT DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,8,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.014301803815006167
ARMADALE DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0004028505706378333
ARMADALE DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
ARMADALE DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,27,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0108769654072215
CANNINGTON DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,5,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0022892619877203984
CANNINGTON DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
CANNINGTON DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,56,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.025639734262468464
FREMANTLE DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,5,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0017850831313214258
FREMANTLE DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
FREMANTLE DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,56,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.01999293107079997
GOLDFIELDS-ESPERANCE DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,1,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0018980734554427255
GOLDFIELDS-ESPERANCE DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,26,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.049349909841510865
GREAT SOUTHERN DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,12,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.014400576023040922
JOONDALUP DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.00027091901147071094
JOONDALUP DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0
JOONDALUP DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,63,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.01706789772265479
KIMBERLEY DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,1,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0028496523424142253
KIMBERLEY DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
KIMBERLEY DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,6,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.017097914054485353
MANDURAH DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.0
MANDURAH DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.0
MANDURAH DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,55,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.01897081598653417
MID WEST-GASCOYNE DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,6,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.009874755188360954
MIDLAND DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.00039856198834604744
MIDLAND DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0
MIDLAND DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,23,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.009166925731959092
MIRRABOOKA DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0
MIRRABOOKA DISTRICT,Fraud & Related Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0
