District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
GOLDFIELDS-ESPERANCE DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,4,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.007592293821770902
GREAT SOUTHERN DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,2,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.002400096003840154
GREAT SOUTHERN DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,2,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.002400096003840154
JOONDALUP DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,17,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.004605623195002086
JOONDALUP DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,3,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0008127570344121329
KIMBERLEY DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,2,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0056993046848284505
KIMBERLEY DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,0,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0
MANDURAH DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,1,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.000344923927027894
MANDURAH DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,2,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.000689847854055788
MID WEST-GASCOYNE DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,4,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.00658317012557397
MID WEST-GASCOYNE DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,0,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0
MIDLAND DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,11,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.004384181871806522
MIDLAND DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,6,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.002391371930076285
MIRRABOOKA DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,12,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.004058825916956422
MIRRABOOKA DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,8,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.0027058839446376143
PERTH DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,10,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.007190261509811112
PERTH DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,2,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.0014380523019622224
PILBARA DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0
PILBARA DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0
SOUTH WEST DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,12,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.006357817996863476
SOUTH WEST DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,5,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.0026490908320264484
WHEATBELT DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,1,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0017877254768757709
WHEATBELT DISTRICT,Receiving and Possession of Stolen Property,2007-02-01,2007,February,1,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0017877254768757709
ARMADALE DISTRICT,Receiving and Possession of Stolen Property,2007-03-01,2007,March,6,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.002417103423827
ARMADALE DISTRICT,Receiving and Possession of Stolen Property,2007-03-01,2007,March,1,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0004028505706378333
CANNINGTON DISTRICT,Receiving and Possession of Stolen Property,2007-03-01,2007,March,3,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0013735571926322392
CANNINGTON DISTRICT,Receiving and Possession of Stolen Property,2007-03-01,2007,March,9,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.004120671577896718
FREMANTLE DISTRICT,Receiving and Possession of Stolen Property,2007-03-01,2007,March,6,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.002142099757585711
FREMANTLE DISTRICT,Receiving and Possession of Stolen Property,2007-03-01,2007,March,7,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.002499116383849996
GOLDFIELDS-ESPERANCE DISTRICT,Receiving and Possession of Stolen Property,2007-03-01,2007,March,2,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.003796146910885451
GOLDFIELDS-ESPERANCE DISTRICT,Receiving and Possession of Stolen Property,2007-03-01,2007,March,0,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0
GREAT SOUTHERN DISTRICT,Receiving and Possession of Stolen Property,2007-03-01,2007,March,3,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0036001440057602304
