District,Crime,Region,State,Population,Count,Count_Per_100
ARMADALE DISTRICT,Receiving and Possession of Stolen Property,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,4711,1.8978290382748328
MIRRABOOKA DISTRICT,Regulated Weapons Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,5432,1.8372951984089403
SOUTH WEST DISTRICT,Recent Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,3431,1.8178061289365488
ARMADALE DISTRICT,Threatening Behaviour (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,4421,1.7810023727898612
MANDURAH DISTRICT,Threatening Behaviour (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,5135,1.7711843652882358
JOONDALUP DISTRICT,Recent Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,6532,1.769642982926684
CANNINGTON DISTRICT,Robbery,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,3806,1.7425862250527673
FREMANTLE DISTRICT,Threatening Behaviour (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,4807,1.7161789224524187
MIRRABOOKA DISTRICT,Recent Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,5050,1.708089240052494
MIDLAND DISTRICT,Threatening Behaviour (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,4279,1.7054467481327371
JOONDALUP DISTRICT,Receiving and Possession of Stolen Property,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,6200,1.6796978711184078
MIRRABOOKA DISTRICT,Threatening Behaviour (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,4915,1.6624274484867343
FREMANTLE DISTRICT,Recent Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,4630,1.6529869796036403
GREAT SOUTHERN DISTRICT,Receiving and Possession of Stolen Property,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,1354,1.6248649945997842
GREAT SOUTHERN DISTRICT,Graffiti,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,1345,1.6140645625825034
MANDURAH DISTRICT,Threatening Behaviour (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,4580,1.5797515857877544
PERTH DISTRICT,Historical Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,2177,1.5653199306858792
WHEATBELT DISTRICT,Receiving and Possession of Stolen Property,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,874,1.5624720667894239
SOUTH WEST DISTRICT,Receiving and Possession of Stolen Property,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,2923,1.5486585004026618
JOONDALUP DISTRICT,Regulated Weapons Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,5669,1.5358398760274603
FREMANTLE DISTRICT,Regulated Weapons Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,4253,1.5183917115020047
MANDURAH DISTRICT,Receiving and Possession of Stolen Property,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,4397,1.51663050714165
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,1256,1.5072602904116166
SOUTH WEST DISTRICT,Threatening Behaviour (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,2844,1.5068028652566439
MANDURAH DISTRICT,Historical Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,4360,1.5038683218416178
MIDLAND DISTRICT,Historical Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,3685,1.468700927055185
CANNINGTON DISTRICT,Threatening Behaviour (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,3118,1.4275837755424405
ARMADALE DISTRICT,Historical Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,3450,1.3898344687005248
MID WEST-GASCOYNE DISTRICT,Arson,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,825,1.3577788383996312
KIMBERLEY DISTRICT,Robbery,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,450,1.2823435540864014
SOUTH WEST DISTRICT,Historical Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,2419,1.2816301445343958
MIRRABOOKA DISTRICT,Robbery,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,3457,1.1692800995765291
WHEATBELT DISTRICT,Arson,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,645,1.1530829325848722
FREMANTLE DISTRICT,Threatening Behaviour (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,3158,1.1274585057426125
MIRRABOOKA DISTRICT,Threatening Behaviour (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,3303,1.117191833642255
JOONDALUP DISTRICT,Threatening Behaviour (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,3951,1.070401014320779
SOUTH WEST DISTRICT,Threatening Behaviour (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,2006,1.062815241809011
CANNINGTON DISTRICT,Historical Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,2295,1.050771252363663
ARMADALE DISTRICT,Robbery,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,2573,1.0365345182511452
MID WEST-GASCOYNE DISTRICT,Robbery,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,629,1.0352035022465067
JOONDALUP DISTRICT,Historical Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,3688,0.999149314303982
FREMANTLE DISTRICT,Robbery,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,2792,0.9967904205298841
MIRRABOOKA DISTRICT,Historical Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,2924,0.9890005817650481
GREAT SOUTHERN DISTRICT,Arson,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,819,0.982839313572543
MIDLAND DISTRICT,Robbery,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,2442,0.973288375541048
MANDURAH DISTRICT,Robbery,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,2714,0.9361235379537043
GOLDFIELDS-ESPERANCE DISTRICT,Robbery,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,484,0.9186675524342792
PERTH DISTRICT,Threatening Behaviour (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,1233,0.8865592441597101
KIMBERLEY DISTRICT,Deprivation of Liberty,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,292,0.8320984839849538
FREMANTLE DISTRICT,Historical Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,2272,0.8111417748724559
SOUTH WEST DISTRICT,Arson,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,1522,0.8063832492688509
MIDLAND DISTRICT,Arson,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,1994,0.7947326047620187
JOONDALUP DISTRICT,Threatening Behaviour (Family),METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,2760,0.7477364716591622
JOONDALUP DISTRICT,Robbery,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,2754,0.746110957590338
ARMADALE DISTRICT,Arson,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,1701,0.6852488206549545
MANDURAH DISTRICT,Arson,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,1975,0.6812247558800907
PILBARA DISTRICT,Robbery,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,322,0.5841905694950924
CANNINGTON DISTRICT,Arson,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,1241,0.5681948253522029
PERTH DISTRICT,Arson,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,739,0.5313603255750412
FREMANTLE DISTRICT,Arson,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,1437,0.5130328919417778
MIRRABOOKA DISTRICT,Arson,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,1508,0.5100591235641904
JOONDALUP DISTRICT,Arson,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,1810,0.4903634107619868
SOUTH WEST DISTRICT,Robbery,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,776,0.4111388971305048
GOLDFIELDS-ESPERANCE DISTRICT,Deprivation of Liberty,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,187,0.3549397361677897
KIMBERLEY DISTRICT,Homicide,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,121,0.34480793343212124
GREAT SOUTHERN DISTRICT,Robbery,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,280,0.33601344053762155
MID WEST-GASCOYNE DISTRICT,Deprivation of Liberty,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,197,0.324221128684518
PILBARA DISTRICT,Deprivation of Liberty,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,167,0.30298082330956655
WHEATBELT DISTRICT,Robbery,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,169,0.3021256055920053
CANNINGTON DISTRICT,Deprivation of Liberty,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,577,0.264180833382934
PERTH DISTRICT,Deprivation of Liberty,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,311,0.22361713295512559
ARMADALE DISTRICT,Deprivation of Liberty,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,515,0.20746804387848417
MIDLAND DISTRICT,Deprivation of Liberty,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,475,0.18931694446437256
GOLDFIELDS-ESPERANCE DISTRICT,Homicide,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,96,0.18221505172250166
PILBARA DISTRICT,Homicide,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,97,0.17598287341932906
MIRRABOOKA DISTRICT,Deprivation of Liberty,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,519,0.17554422090836524
WHEATBELT DISTRICT,Deprivation of Liberty,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,93,0.16625846934944669
MANDURAH DISTRICT,Deprivation of Liberty,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,475,0.16383886533824965
GREAT SOUTHERN DISTRICT,Deprivation of Liberty,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,128,0.15360614424576985
WHEATBELT DISTRICT,Homicide,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,80,0.14301803815006167
MID WEST-GASCOYNE DISTRICT,Homicide,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,79,0.1300176099800859
FREMANTLE DISTRICT,Deprivation of Liberty,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,364,0.1299540519601998
JOONDALUP DISTRICT,Deprivation of Liberty,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,456,0.12353906923064419
SOUTH WEST DISTRICT,Deprivation of Liberty,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,191,0.10119526978341033
GREAT SOUTHERN DISTRICT,Homicide,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,68,0.08160326413056523
SOUTH WEST DISTRICT,Homicide,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,133,0.07046581613190353
PERTH DISTRICT,Homicide,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,81,0.05824111822947001
MANDURAH DISTRICT,Homicide,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,164,0.05656752403257461
CANNINGTON DISTRICT,Homicide,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,120,0.05494228770528956
MIDLAND DISTRICT,Homicide,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,137,0.0546029924034085
MIRRABOOKA DISTRICT,Homicide,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,151,0.05107355945503497
ARMADALE DISTRICT,Homicide,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,126,0.050759171900367
JOONDALUP DISTRICT,Homicide,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,155,0.04199244677796019
FREMANTLE DISTRICT,Homicide,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,113,0.04034287876786422
