District,Crime,Region,State,Population,Count,Count_Per_100
MIDLAND DISTRICT,Property Damage,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,49886,19.882663350630924
ARMADALE DISTRICT,Property Damage,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,49177,19.81098251225673
MIDLAND DISTRICT,Burglary,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,49290,19.64512040557668
MANDURAH DISTRICT,Property Damage,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,55171,19.02979797805594
MANDURAH DISTRICT,Burglary,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,55085,19.00013452033154
FREMANTLE DISTRICT,Property Damage,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,53213,18.997925733401406
SOUTH WEST DISTRICT,Drug Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,35331,18.71900563726529
KIMBERLEY DISTRICT,Stealing of Motor Vehicle,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,6511,18.55408640145902
MIRRABOOKA DISTRICT,Property Damage,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,53501,18.095937115257126
WHEATBELT DISTRICT,Burglary,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,10025,17.921947905679602
SOUTH WEST DISTRICT,Property Damage,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,33774,17.894078752172256
MID WEST-GASCOYNE DISTRICT,Assault (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,10862,17.876598475996115
PILBARA DISTRICT,Assault (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,9806,17.790598523195268
MIRRABOOKA DISTRICT,Fraud & Related Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,50897,17.215171891277585
GREAT SOUTHERN DISTRICT,Burglary,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,13723,16.468258730349216
KIMBERLEY DISTRICT,Threatening Behaviour (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,5687,16.2059728713097
KIMBERLEY DISTRICT,Fraud & Related Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,5623,16.02359512139519
FREMANTLE DISTRICT,Fraud & Related Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,43484,15.524510976476176
GOLDFIELDS-ESPERANCE DISTRICT,Fraud & Related Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,8109,15.391477650185061
MID WEST-GASCOYNE DISTRICT,Breach of Violence Restraint Order,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,9170,15.091917512878327
CANNINGTON DISTRICT,Drug Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,32127,14.709423975898648
ARMADALE DISTRICT,Drug Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,36029,14.514303209510496
SOUTH WEST DISTRICT,Burglary,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,26434,14.005213410757428
JOONDALUP DISTRICT,Property Damage,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,50047,13.55868376707467
GOLDFIELDS-ESPERANCE DISTRICT,Breach of Violence Restraint Order,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,7046,13.373825567049444
