District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
PILBARA DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,1,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0018142564270033925
SOUTH WEST DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,22,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.011655999660916374
SOUTH WEST DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,6,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.003178908998431738
SOUTH WEST DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,5,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0026490908320264484
WHEATBELT DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,3,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.005363176430627313
WHEATBELT DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,3,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.005363176430627313
ARMADALE DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,27,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0108769654072215
ARMADALE DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,15,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0060427585595675
ARMADALE DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,3,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0012085517119135
CANNINGTON DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,23,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.010530605143513833
CANNINGTON DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,13,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.005952081168073036
CANNINGTON DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,5,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0022892619877203984
FREMANTLE DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,38,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.013566631798042836
FREMANTLE DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,8,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0028561330101142812
FREMANTLE DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.00035701662626428515
GOLDFIELDS-ESPERANCE DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,8,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.015184587643541804
GOLDFIELDS-ESPERANCE DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,8,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.015184587643541804
GOLDFIELDS-ESPERANCE DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,7,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.013286514188099079
GREAT SOUTHERN DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,2,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.002400096003840154
GREAT SOUTHERN DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,12,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.014400576023040922
JOONDALUP DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,44,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.011920436504711283
JOONDALUP DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,14,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0037928661605899534
JOONDALUP DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,5,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0013545950573535547
KIMBERLEY DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,30,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.08548957027242676
KIMBERLEY DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,2,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0056993046848284505
KIMBERLEY DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,1,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0028496523424142253
MANDURAH DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,34,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.011727413518948395
MANDURAH DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,9,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.003104315343251046
MANDURAH DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,3,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.001034771781083682
MID WEST-GASCOYNE DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,14,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.023041095439508896
MID WEST-GASCOYNE DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,2,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.003291585062786985
MID WEST-GASCOYNE DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,1,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0016457925313934924
MIDLAND DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,22,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.008768363743613044
MIDLAND DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,3,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0011956859650381424
MIDLAND DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,6,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.002391371930076285
MIRRABOOKA DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,27,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.009132358313151949
MIRRABOOKA DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,16,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.005411767889275229
MIRRABOOKA DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,4,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0013529419723188071
PERTH DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,16,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.011504418415697779
PERTH DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,3,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0021570784529433337
PERTH DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,2,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0014380523019622224
PILBARA DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,4,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.00725702570801357
PILBARA DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,3,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.005442769281010177
PILBARA DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,2,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.003628512854006785
SOUTH WEST DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,29,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.015364726825753402
SOUTH WEST DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
SOUTH WEST DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,1,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0005298181664052897
WHEATBELT DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,5,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.008938627384378854
WHEATBELT DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Breach of Violence Restraint Order,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
ARMADALE DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,102,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.041090758205058996
ARMADALE DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,36,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.014502620542961999
ARMADALE DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,4,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0016114022825513333
CANNINGTON DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,38,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.01739839110667503
CANNINGTON DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,5,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0022892619877203984
CANNINGTON DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,4,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0018314095901763188
FREMANTLE DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,26,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.009282432282871414
FREMANTLE DISTRICT,Breach of Violence Restraint Order,2007-03-01,2007,March,5,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0017850831313214258
