District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
WHEATBELT DISTRICT,Burglary,2007-12-01,2007,December,33,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.05899494073690044
ARMADALE DISTRICT,Burglary,2008-01-01,2008,January,197,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.07936156241565316
ARMADALE DISTRICT,Burglary,2008-01-01,2008,January,92,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.03706225249868066
CANNINGTON DISTRICT,Burglary,2008-01-01,2008,January,303,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.13872927645585614
CANNINGTON DISTRICT,Burglary,2008-01-01,2008,January,133,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0608943688733626
FREMANTLE DISTRICT,Burglary,2008-01-01,2008,January,295,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.10531990474796413
FREMANTLE DISTRICT,Burglary,2008-01-01,2008,January,122,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.04355602840424279
GOLDFIELDS-ESPERANCE DISTRICT,Burglary,2008-01-01,2008,January,84,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.15943817025718895
GOLDFIELDS-ESPERANCE DISTRICT,Burglary,2008-01-01,2008,January,52,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.09869981968302173
GREAT SOUTHERN DISTRICT,Burglary,2008-01-01,2008,January,53,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.06360254410176408
