District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
GREAT SOUTHERN DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,1,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.001200048001920077
JOONDALUP DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,24,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.006502056275297063
JOONDALUP DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0
KIMBERLEY DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,1,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0028496523424142253
KIMBERLEY DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
MANDURAH DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,2,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.000689847854055788
MANDURAH DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.000344923927027894
MID WEST-GASCOYNE DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,1,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0016457925313934924
MID WEST-GASCOYNE DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MIDLAND DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,10,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.003985619883460475
MIDLAND DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,3,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0011956859650381424
MIRRABOOKA DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,2,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0006764709861594036
MIRRABOOKA DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,2,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0006764709861594036
PERTH DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,7,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.005033183056867778
PERTH DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0007190261509811112
PILBARA DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
SOUTH WEST DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,9,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0047683634976476074
SOUTH WEST DISTRICT,Historical Sexual Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
