District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
SOUTH WEST DISTRICT,Homicide,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
WHEATBELT DISTRICT,Homicide,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Homicide,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Homicide,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
WHEATBELT DISTRICT,Homicide,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
ARMADALE DISTRICT,Homicide,2007-03-01,2007,March,1,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0004028505706378333
ARMADALE DISTRICT,Homicide,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
ARMADALE DISTRICT,Homicide,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
ARMADALE DISTRICT,Homicide,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
CANNINGTON DISTRICT,Homicide,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
CANNINGTON DISTRICT,Homicide,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
CANNINGTON DISTRICT,Homicide,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
CANNINGTON DISTRICT,Homicide,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
FREMANTLE DISTRICT,Homicide,2007-03-01,2007,March,1,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.00035701662626428515
FREMANTLE DISTRICT,Homicide,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
FREMANTLE DISTRICT,Homicide,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
FREMANTLE DISTRICT,Homicide,2007-03-01,2007,March,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Homicide,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Homicide,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Homicide,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Homicide,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GREAT SOUTHERN DISTRICT,Homicide,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Homicide,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Homicide,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Homicide,2007-03-01,2007,March,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
