District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
WHEATBELT DISTRICT,Property Damage,2007-10-01,2007,October,74,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.13229168528880705
ARMADALE DISTRICT,Property Damage,2007-11-01,2007,November,22,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.008862712554032332
ARMADALE DISTRICT,Property Damage,2007-11-01,2007,November,246,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.099101240376907
CANNINGTON DISTRICT,Property Damage,2007-11-01,2007,November,21,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.009614900348425675
CANNINGTON DISTRICT,Property Damage,2007-11-01,2007,November,354,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.1620797487306042
FREMANTLE DISTRICT,Property Damage,2007-11-01,2007,November,41,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.014637681676835691
FREMANTLE DISTRICT,Property Damage,2007-11-01,2007,November,357,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.1274549355763498
GOLDFIELDS-ESPERANCE DISTRICT,Property Damage,2007-11-01,2007,November,22,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.041757616019739964
GOLDFIELDS-ESPERANCE DISTRICT,Property Damage,2007-11-01,2007,November,108,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.20499193318781436
GREAT SOUTHERN DISTRICT,Property Damage,2007-11-01,2007,November,19,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.02280091203648146
GREAT SOUTHERN DISTRICT,Property Damage,2007-11-01,2007,November,100,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.12000480019200768
JOONDALUP DISTRICT,Property Damage,2007-11-01,2007,November,33,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.008940327378533461
JOONDALUP DISTRICT,Property Damage,2007-11-01,2007,November,310,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0839848935559204
KIMBERLEY DISTRICT,Property Damage,2007-11-01,2007,November,12,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.034195828108970705
KIMBERLEY DISTRICT,Property Damage,2007-11-01,2007,November,73,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.20802462099623845
MANDURAH DISTRICT,Property Damage,2007-11-01,2007,November,26,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.008968022102725244
