District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
PILBARA DISTRICT,Graffiti,2007-03-01,2007,March,12,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.021771077124040708
SOUTH WEST DISTRICT,Graffiti,2007-03-01,2007,March,23,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.012185817827321662
WHEATBELT DISTRICT,Graffiti,2007-03-01,2007,March,13,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.02324043119938502
ARMADALE DISTRICT,Graffiti,2007-04-01,2007,April,96,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.038673654781232
CANNINGTON DISTRICT,Graffiti,2007-04-01,2007,April,137,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.06272577846353893
FREMANTLE DISTRICT,Graffiti,2007-04-01,2007,April,80,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.028561330101142812
GOLDFIELDS-ESPERANCE DISTRICT,Graffiti,2007-04-01,2007,April,17,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.03226724874252634
GREAT SOUTHERN DISTRICT,Graffiti,2007-04-01,2007,April,7,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.008400336013440538
JOONDALUP DISTRICT,Graffiti,2007-04-01,2007,April,85,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.023028115975010432
KIMBERLEY DISTRICT,Graffiti,2007-04-01,2007,April,3,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.008548957027242676
MANDURAH DISTRICT,Graffiti,2007-04-01,2007,April,72,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.024834522746008367
MID WEST-GASCOYNE DISTRICT,Graffiti,2007-04-01,2007,April,5,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.008228962656967462
MIDLAND DISTRICT,Graffiti,2007-04-01,2007,April,97,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.03866051286956661
MIRRABOOKA DISTRICT,Graffiti,2007-04-01,2007,April,79,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.026720603953296444
PERTH DISTRICT,Graffiti,2007-04-01,2007,April,308,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.22146005450218226
PILBARA DISTRICT,Graffiti,2007-04-01,2007,April,12,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.021771077124040708
SOUTH WEST DISTRICT,Graffiti,2007-04-01,2007,April,34,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.01801381765777985
WHEATBELT DISTRICT,Graffiti,2007-04-01,2007,April,12,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.021452705722509253
